data_date,created_at,item_type,topic_id,author,is_nick,sentiment,bullish_hits,bearish_hits,excerpt,source
2026-08-06,2026-08-06T16:30:30.794+0800,comment,14422118412554552,Woo,False,neutral,0,0,昨儿 EA 这只票让我有些顿悟了，趋势领先消息,知识星球·趋势小程序
2026-08-06,2026-08-06T15:07:50.276+0800,comment,14422118412554552,Fendi,False,neutral,0,0,情绪管理也很难，是一直持续的，顺风期冷静，逆风期坚强,知识星球·趋势小程序
2026-08-06,2026-08-06T13:12:46.533+0800,comment,14422118412554552,又轴又翻的辉,False,neutral,0,0,上半年有三轮趋势，黄金 原油 科技，请问星主上半年的胜率和收益百分比是多少？收益不需要具体的数值，给新入的小白一些参考或信心。,知识星球·趋势小程序
2026-08-06,2026-08-06T12:48:39.795+0800,comment,55522448555481844,𝕏,False,neutral,0,0,转热了吗,知识星球·趋势小程序
2026-08-06,2026-08-06T10:21:55.988+0800,comment,45544221244844228,NickNie,True,neutral,0,0,是这样的，针对你提的两个问题： 第一个问题，趋势节气图有一个“不回滚”的机制。如果节气从夏至回到了立夏，在趋势折线图上，它的曲线位置虽然会滑落，但是文字表述不会回滚。所以你看到的趋势图曲线位置和图表里的文字表述可能会不一致，这个时候以文字表述为主就行。比如它最高的时候摸到了夏至，那即使后续在位置上回到了立夏，它依然还是叫夏至。这就是不回滚机制。 第二个问题，关于趋势相对强度的理解，它其实是一个相对排名。我给你转一篇文章，你读完就懂了,知识星球·趋势小程序
2026-08-06,2026-08-06T10:07:13.017+0800,comment,14422118412554552,Major Jack,False,neutral,0,0,亏多少算一次顿悟,知识星球·趋势小程序
2026-08-06,2026-08-06T09:53:50.597+0800,topic,45544221244844228,Zoe,False,neutral,0,0,询问关于趋势图的问题： 1）美股趋势图里面的节气跟该板块显示的不一样，比如信贷支付与金融科技板块显示已经在夏至，这种情况以哪个为准？美股的趋势图是有延迟吗？ 2）板块和个股的强度也不一样，比如趋势图里面万事达是67，页面内排名，万事达是57 ，想问一下是什么原因呢？,知识星球·趋势小程序
2026-08-06,2026-08-06T09:16:04.588+0800,comment,55522448555481844,        ,False,neutral,0,0,iaum温转热？,知识星球·趋势小程序
2026-08-06,2026-08-06T07:45:20.341+0800,comment,45544221558258888,井中观天,False,neutral,0,0,太接地气了,知识星球·趋势小程序
2026-08-06,2026-08-06T07:42:58.465+0800,comment,14422118412554552,美美,False,neutral,0,0,最后一层有结界哈哈哈😆,知识星球·趋势小程序
2026-08-06,2026-08-06T01:55:01.398+0800,topic,14422118412554552,NickNie,True,neutral,0,0,趋势交易有三个门槛 难度依次增加 1、接受追涨杀跌，学会右侧、温转热、温转平、节气 2、按纪律择时，学会梭哈超仓和吓尿空仓 3、真正严格执行，放弃追求策略优化 1是一层窗户纸 看懂即是入门 2需要数月 至少经历一次完整趋势 3需要数年 或者一次顿悟,知识星球·趋势小程序
2026-08-06,2026-08-06T01:08:58.687+0800,topic,82255441245585182,NickNie,True,neutral,0,0,分享一期刚刚上线的播客， 录制的内容是在 4 月底的上海播客节。 我有两段发言， 分别在15 分 26 秒和 1 个小时 1 分钟的位置。 推荐大家通过小宇宙打开链接， 然后通过 show notes 定位到相关的位置去收听。 谢谢关注。,知识星球·趋势小程序
2026-08-06,2026-08-06T01:07:02.152+0800,comment,55522448555481844,NickNie,True,neutral,0,0,没有,知识星球·趋势小程序
