data_date,created_at,item_type,topic_id,author,is_nick,sentiment,bullish_hits,bearish_hits,excerpt,source
2026-07-23,2026-07-23T16:44:17.273+0800,comment,14422148122188282,Cynthia,False,neutral,0,0,杭州有希望吗,知识星球·趋势小程序
2026-07-23,2026-07-23T15:56:56.499+0800,comment,55522458428581124,NickNie,True,bullish,1,0,谢谢反馈。今天6点修复。,知识星球·趋势小程序
2026-07-23,2026-07-23T15:20:51.684+0800,topic,55522458428581124,北地的极光,False,neutral,0,0,豆粕没有2607.小程序有点问题。,知识星球·趋势小程序
2026-07-23,2026-07-23T13:43:14.742+0800,comment,14422148122188282,转债量化实盘,False,neutral,0,0,北京还有希望不,知识星球·趋势小程序
2026-07-23,2026-07-23T13:40:14.275+0800,comment,82255421455488452,dbwharry,False,neutral,0,0,和看当时木头姐的采访有相似之处,知识星球·趋势小程序
2026-07-23,2026-07-23T13:38:47.203+0800,comment,14422148122188282,🔥,False,neutral,0,0,报名北京,知识星球·趋势小程序
2026-07-23,2026-07-23T13:20:55.561+0800,topic,14422148122188282,NickNie,True,neutral,0,0,上海沙龙周五晚，时间地点已确定。,知识星球·趋势小程序
2026-07-23,2026-07-23T13:19:44.003+0800,comment,82255421455488452,北京巴菲特,False,neutral,0,0,每个人都做出自己的贡献,知识星球·趋势小程序
2026-07-23,2026-07-23T13:17:18.676+0800,topic,82255421455488452,NickNie,True,neutral,0,0,看完梁文峰的演讲。 对 AI 长期的无力感被具象化了， 产生过一刻念头——感觉自己的事业毫无意义...,知识星球·趋势小程序
2026-07-23,2026-07-23T08:43:11.300+0800,comment,82255425124252142,布丁,False,neutral,0,0,在哪里,知识星球·趋势小程序
